date time precip temp RH press wspd wdir gamma radon
2016-02-19 00:00:00 1.1 4.2 100 994.4 1.5 257 88 5.85
2016-02-19 03:00:00 0.2 4.3 100 994.4 1.7 255 94 5.44
2016-02-19 04:00:00 0 4.3 100 994.4 0.5 190 87 5.75
2016-02-19 05:00:00 0 4.1 100 994.6 0.8 44 76 5.98
2016-02-19 06:00:00 0 4.1 100 995.3 1.3 256 73 5.79
2016-02-19 07:00:00 0.1 4.2 100 996.1 2.1 222 70 6.32
2016-02-19 08:00:00 0.1 4.7 100 997 0.4 227 74 6.41
2016-02-19 09:00:00 0.5 5.1 100 997.6 1 102 76 5.78
2016-02-19 10:00:00 0.9 5.6 99 998.2 1.3 93 83 5.14
2016-02-19 11:00:00 0.6 5.9 100 998.7 1.2 84 89 4.47
2016-02-19 12:00:00 0 6.3 98 999.1 1.7 81 84 2.91
2016-02-19 13:00:00 0.1 6.9 89 999.4 1.9 91 79 2.54
2016-02-19 15:00:00 0 6.8 91 1000.1 1.6 79 66 3.85
2016-02-19 16:00:00 0.7 6.5 93 1000.6 1.5 69 69 1.86
2016-02-19 17:00:00 0 5.6 98 1001 2.1 64 89 1.47
2016-02-19 18:00:00 0 5.4 95 1001.7 1.9 89 81 2.21
2016-02-19 19:00:00 0 5.2 95 1002.3 1.5 76 77 1.66
2016-02-19 20:00:00 0.2 5.2 96 1002.6 1.1 115 67 1.45
2016-02-19 21:00:00 1 4.8 99 1003.3 1.1 283 80 1.05
2016-02-19 22:00:00 0.3 4.1 97 1003.5 1.1 204 94 0.917
2016-02-19 23:00:00 0.1 3.8 96 1003.3 0.1 74 101 0.69
2016-02-20 00:00:00 0.1 3.9 97 1003.5 2.4 314 88 0.899
2016-02-20 03:00:00 0 3.4 100 1004 0.9 267 69 1.59
2016-02-20 04:00:00 0 3.4 100 1004.3 1 278 64 1.95
2016-02-20 05:00:00 0 3.4 100 1004.8 0.4 242 65 2.07
2016-02-20 06:00:00 0 3.2 100 1005 1.3 229 62 1.8
2016-02-20 07:00:00 0 3.4 100 1005.7 0.4 201 63 1.94
2016-02-20 08:00:00 0 3.7 100 1006.3 0.3 350 62 2.28
2016-02-20 09:00:00 0 4.7 97 1007.1 1.1 237 60 2.27
2016-02-20 10:00:00 0 4.6 97 1007.6 1.9 232 63 1.96
2016-02-20 11:00:00 0 5.5 92 1007.6 1 254 60 1.68
2016-02-20 12:00:00 0 6.2 87 1007.5 0.2 15 62 1.51
2016-02-20 13:00:00 0 6.7 82 1007 0.9 216 62 1.55
2016-02-20 14:00:00 0 7.1 77 1006.4 2.1 251 62 1.26
2016-02-20 15:00:00 0 8.2 66 1005.6 3 227 63 0.453
2016-02-20 16:00:00 0 7.2 70 1005.2 2.1 210 60 0.413
2016-02-20 17:00:00 0 6.1 75 1004.9 0.5 198 60 0.473
2016-02-20 18:00:00 0 5 83 1004.5 0.4 47 59 0.744
2016-02-20 19:00:00 0 4.2 91 1004 0.6 294 62 1.27
2016-02-20 20:00:00 0 3.4 95 1003.7 1.1 277 63 1.66
2016-02-20 21:00:00 0 2.6 98 1003.2 0.2 52 61 1.8
2016-02-20 22:00:00 0 2.1 100 1002.8 1.2 288 61 1.69
